cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.6,0.0,0.8888888888888888,0.0,0.625,1.0,1.0,0.0,0.6363636363636364,0.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,1.0,1.0000000000000002,0.875,0.39999999999999997,0.16666666666666669,0
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.0,0.6666666666666666,0.4444444444444444,0.0,0.625,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6249999999999999,0.625,0.0,0.33333333333333337,0.5,1.0000000000000002,0.5,0.7999999999999999,0.33333333333333337,0
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.6,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.6,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.8888888888888888,0.0,0.625,1.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,1.0,1.0000000000000002,0.875,0.5999999999999999,0.16666666666666669,0
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.6,0.0,0.33333333333333326,0.0,0.625,1.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,1.0,1.0000000000000002,0.875,0.5999999999999999,0.16666666666666669,0
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.0,0.0,0.8888888888888888,0.0,0.625,1.0,1.0,0.0,0.9090909090909091,0.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,1.0,1.0000000000000002,0.875,0.5999999999999999,0.16666666666666669,0
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.5,1.0,0.0,0.0,0.9090909090909091,0.0,0.5,0.3333333333333334,1.0,0.125,0.125,0.0,0.6666666666666666,0.0,0.7500000000000001,0.875,0.19999999999999996,0.0,1
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.625,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6249999999999999,0.625,0.0,0.0,0.5,1.0000000000000002,1.0,0.19999999999999996,0.33333333333333337,0
0.3999999999999999,0.9999999999999999,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.33333333333333337,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.0,1
0.9999999999999999,0.6666666666666666,0.2222222222222222,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.3999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.625,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6249999999999999,0.625,0.0,0.0,0.5,1.0000000000000002,0.5,0.7999999999999999,0.33333333333333337,0
0.3999999999999999,0.6666666666666666,0.4444444444444444,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333334,0.3333333333333333,0.7499999999999999,0.75,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
0.9999999999999999,0.9999999999999999,0.2222222222222222,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.8749999999999999,0.875,0.0,0.6666666666666666,0.5,0.0,0.875,0.7999999999999999,0.6666666666666667,1
